Country name;Ladder score;Logged GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Perceptions of corruption
Finland;7,804;10,792;0,969;71,150;0,961;0,182
Denmark;7,586;10,962;0,954;71,250;0,934;0,196
Iceland;7,530;10,896;0,983;72,050;0,936;0,668
Israel;7,473;10,639;0,943;72,697;0,809;0,708
Netherlands;7,403;10,942;0,930;71,550;0,887;0,379
Sweden;7,395;10,883;0,939;72,150;0,948;0,202
Norway;7,315;11,088;0,943;71,500;0,947;0,283
Switzerland;7,240;11,164;0,920;72,900;0,891;0,266
Luxembourg;7,228;11,660;0,879;71,675;0,915;0,345
New Zealand;7,123;10,662;0,952;70,350;0,887;0,271
Austria;7,097;10,899;0,888;71,150;0,855;0,497
Australia;7,095;10,821;0,934;71,050;0,890;0,496
Canada;6,961;10,773;0,929;71,400;0,874;0,420
Ireland;6,911;11,527;0,905;71,300;0,874;0,358
United States;6,894;11,048;0,919;65,850;0,800;0,689
Germany;6,892;10,879;0,896;71,300;0,846;0,420
Belgium;6,859;10,844;0,915;70,899;0,825;0,549
Czechia;6,845;10,611;0,953;69,050;0,903;0,859
United Kingdom;6,796;10,704;0,882;70,300;0,852;0,454
Lithuania;6,763;10,568;0,939;67,397;0,748;0,805
France;6,661;10,701;0,909;72,300;0,819;0,553
Slovenia;6,650;10,588;0,951;71,052;0,913;0,771
Costa Rica;6,609;9,952;0,872;70,000;0,895;0,768
Romania;6,589;10,339;0,848;67,051;0,856;0,929
Singapore;6,587;11,571;0,878;73,800;0,878;0,146
United Arab Emirates;6,571;11,145;0,826;66,243;0,942;0,584
Taiwan Province of China;6,535;10,797;0,884;69,600;0,804;0,681
Uruguay;6,494;10,037;0,913;67,500;0,895;0,575
Slovakia;6,469;10,353;0,953;68,838;0,753;0,898
Saudi Arabia;6,463;10,715;0,884;64,399;0,894;0,691
Estonia;6,455;10,541;0,946;69,650;0,929;0,409
Spain;6,436;10,540;0,932;72,350;0,782;0,711
Italy;6,405;10,634;0,882;72,050;0,711;0,842
Kosovo;6,368;9,359;0,844;65,195;0,861;0,866
Chile;6,334;10,114;0,889;70,300;0,792;0,823
Mexico;6,330;9,850;0,804;65,800;0,856;0,768
Malta;6,300;10,661;0,923;71,600;0,886;0,729
Panama;6,265;10,305;0,896;68,950;0,855;0,878
Poland;6,260;10,453;0,925;69,049;0,765;0,736
Nicaragua;6,259;8,618;0,853;65,650;0,877;0,625
Latvia;6,213;10,370;0,937;66,400;0,818;0,830
Bahrain;6,173;10,776;0,844;65,825;0,944;0,737
Guatemala;6,150;9,116;0,812;62,900;0,856;0,837
Kazakhstan;6,144;10,166;0,931;65,802;0,853;0,721
Serbia;6,144;9,854;0,873;67,088;0,845;0,816
Cyprus;6,130;10,611;0,826;72,802;0,724;0,860
Japan;6,129;10,616;0,894;74,349;0,799;0,640
Croatia;6,125;10,341;0,917;68,950;0,757;0,925
Brazil;6,125;9,582;0,836;65,749;0,801;0,738
El Salvador;6,122;9,089;0,755;65,597;0,918;0,620
Hungary;6,041;10,419;0,943;67,500;0,758;0,839
Argentina;6,024;9,959;0,891;67,200;0,823;0,814
Honduras;6,023;8,635;0,766;64,063;0,843;0,843
Uzbekistan;6,014;8,948;0,875;65,301;0,938;0,638
Malaysia;6,012;10,169;0,799;65,662;0,877;0,758
Portugal;5,968;10,429;0,878;71,250;0,902;0,878
South Korea;5,951;10,693;0,812;73,650;0,717;0,701
Greece;5,931;10,288;0,835;71,150;0,568;0,793
Mauritius;5,902;9,957;0,888;63,850;0,813;0,775
Thailand;5,843;9,751;0,874;68,450;0,850;0,910
Mongolia;5,840;9,372;0,933;60,500;0,701;0,849
Kyrgyzstan;5,825;8,486;0,911;66,852;0,934;0,904
Moldova;5,819;9,499;0,857;65,299;0,840;0,901
China;5,818;9,738;0,836;68,689;0,882;0,727
Vietnam;5,763;9,287;0,821;65,502;0,939;0,759
Paraguay;5,738;9,510;0,906;65,900;0,891;0,843
Montenegro;5,722;9,813;0,890;67,100;0,805;0,844
Jamaica;5,703;9,165;0,867;66,600;0,822;0,875
Bolivia;5,684;8,985;0,811;63,599;0,868;0,846
Russia;5,661;10,210;0,889;64,947;0,719;0,801
